id,注意事項（短い名前）,伝えている内容（1文）,出どころ（file:line / フィールド）,発火条件,影響（順位が変わる／送れるかが変わる／金額の確かさ／前提・説明）,今のUI（main）での表現,Mock v3 での表現,UI区分,区分の根拠,必要なエンジンのフィールド,リリース前に決めること,担当,状態,最終更新日
1,比べられる行が無い,この重量・方式ではどの社にも公表レートが無く比較できない,compare.ts:2526-2537 rankStabilityNote,"US/200g/小形包装物(船便)/1点 など6,947条件。cheapestでもCA25kg・GB40kg",順位が変わる／送れるかが変わる,出ている（StabilityNote）,form（.norank ブロック、全行が罫線の下）。社ごとの理由は .wcbo に,形で表現できている,v3は状態（全行順位外）で表現。ボードの代わりに1枚出す形に対応（v3map #1）,-,社ごとの理由文の粒度（1行に収めるか）,,未検討,2026-09-15
2,判定不能（1位の上端が開いている）,1位の上端が置けず、どこが勝つか区別できない,compare.ts:2242 indeterminateNote / rankIndeterminate,US/200g/Buyee Air/3点 など551条件。EMS12kg×5 CAも,順位が変わる,出ている。ただし意味が変わる（監査§3-1: 実際は1位だけが開いている）,"form（帯が1位の右にぼけて2位以下に届く）+ 1行（v3map #2,3,4）",言葉で補っている,「1位の上端が開いている」という事実は帯で見えるが、次の一手（方式を変える）はリンク文でしか示せない（grammar §1.1）,CompareResult.indeterminateScope='leader'固定+leaderIds（grammar §5）,「N社とも」の文言をやめて良いか（監査§3-1の修正をオーナー承認するか）,,未検討,2026-09-15
3,判定不能のとき「方式が効く」誘導,総額を動かすのは社より配送方法だと伝える,RankBoard.tsx:196-212,id2と同条件,順位が変わる（次の一手）,出ている,1行のリンク（Change method）,言葉で補っている,「方式を変えると効く」は形にできない誘導文（grammar §1.1）,-,-,,未検討,2026-09-15
4,判定不能のとき弱める（LEADSに・バッジ消す・断定を消す）,判定不能のときは1位の断定表現を弱める,"RankBoard.tsx:60-63,176,311 / Summary",id2と同条件,順位の見え方,出ている,form（LEADSスタンプ、バッジ無し）,形で表現できている,スタンプと非表示の組み合わせだけで弱められる（grammar 0章「記号」）,-,-,,未検討,2026-09-15
5,安定（3倍ずれても顔ぶれが変わらない）,重量が3倍ずれてもおすすめ枠の顔ぶれが変わらない,compare.ts:2540-2552,"US/200g/cheapest/3点 など5,426条件",前提・説明,出ている,開いた中（§ 'How firm is this order'。v3mapに個別記載なし=v2から不変）,開いた中だけ,grammar §1.3: 段3はすべて§。決定を変えない前提説明のため,-,-,,未検討,2026-09-15
6,安定だが3倍で表を出る,3倍を超えると誰にも値段が付かなくなる,compare.ts:2546-2551,"同上1,752条件",前提・説明,出ている,開いた中（同じ§。v2から不変）,開いた中だけ,同上,-,-,,未検討,2026-09-15
7,不安定（重量で1位が替わる）,重量次第でおすすめの社が変わる。倍率ごとの勝者を名指しする,compare.ts:2556-2575,"US/200g/cheapest/1点 など2,697条件",順位が変わる,出ている（⚠+Check the weightsボタン）,form（!行）+ 効く品の重量欄へのリンク（v3map #7）。本文はカートの品側,言葉で補っている,どの品を直すべきかは名指しが要る（grammar §1.1: 文章＝要）,-,-,,未検討,2026-09-15
8,不安定のうち「唯一値段が付く社」,不安定な条件のうち、その社だけが今も値段を出せる,compare.ts:2567-2570,US/200g/cheapest/1点 91条件,順位が変わる,出ている,開いた中（§。v2から不変）,開いた中だけ,id7の!行に吸収され、詳細は§（grammar §1.1 id7の並び）,-,-,,未検討,2026-09-15
9,不安定のうち「どの方式も運べない」,この重量帯ではどの方式にも価格が付かない,compare.ts:2563-2566,US/200g/courier-ecms/1点 419条件,送れるかが変わる,出ている,開いた中（§）,開いた中だけ,同上,-,-,,未検討,2026-09-15
10,比べられる社が1社だけ,唯一値段が付く社であって最安ではない,isIndeterminate/comparable.length<=1、Summaryはrows.length<2で消える,"US/200g/小形包装物/1点 3,335条件",順位の見え方（自己矛盾のリスク）,"出ている。だがRankBoardは'sole top pick'とCHEAPESTを付ける（矛盾, 監査§3-2）",form（indigoブラケット、バッジ廃止でid26-28と統合。監査§3-2の矛盾を解消）,形で表現できている,"grammar §1.2 id26,27,28: バッジ3種を廃止しブラケット1本に統合。1社だけのケースもブラケット無しで自然に解ける",-,'sole top pick'表現の廃止をv3で確定できているか最終合意,,未検討,2026-09-15
